Date,Open,High,Low,Close,Adj Close
2021-10-18,9326.17,9378.35,9292.54,9373.68,9373.68
2021-10-15,9292.67,9351.37,9292.67,9342.15,9342.15
2021-10-14,9165.35,9275.77,9165.35,9272.97,9272.97
2021-10-13,9104.29,9134.46,9045.6,9116.39,9116.39
2021-10-12,9125.63,9139.38,9071.27,9088.73,9088.73
2021-10-11,9161.41,9224.89,9110.39,9110.76,9110.76
2021-10-08,9205.44,9216.65,9163.19,9173.74,9173.74
2021-10-07,9157.69,9254.28,9157.69,9191.19,9191.19
2021-10-06,9021.6,9117.57,8961.01,9113.45,9113.45
2021-10-05,9001.33,9125.19,9001.33,9076.19,9076.19
2021-10-04,9081.66,9095.22,8935.78,8980.64,8980.64
2021-10-01,9014.98,9136.15,8955.17,9098.25,9098.25
2021-09-30,9126.65,9151.44,8993.6,8994.83,8994.83
2021-09-29,9108.78,9157.12,9093.47,9102.62,9102.62
2021-09-28,9227.15,9227.15,9074.93,9087.47,9087.47
2021-09-27,9273.81,9305.39,9261.67,9275.87,9275.87
2021-09-24,9265.08,9317.45,9250.82,9301.49,9301.49
2021-09-23,9199.64,9322,9199.64,9287.8,9287.8
2021-09-22,9117.19,9220.08,9117.19,9176.08,9176.08
2021-09-21,9131.84,9174.47,9076.91,9089.55,9089.55
2021-09-20,9190.93,9190.93,8988.44,9096.52,9096.52
2021-09-17,9330.29,9332.97,9242.69,9253.57,9253.57
2021-09-16,9345.59,9363.7,9276.3,9338.61,9338.61
2021-09-15,9283.5,9365.51,9264.71,9352.83,9352.83
2021-09-14,9349.7,9362.72,9258.68,9273.99,9273.99
2021-09-13,9337.98,9375.32,9277.27,9325.29,9325.29
2021-09-10,9404.89,9432.57,9302.29,9304.03,9304.03
2021-09-09,9417.16,9452.39,9373.45,9375.99,9375.99
2021-09-08,9426.97,9434.42,9376.59,9418.57,9418.57
2021-09-07,9462.72,9462.72,9416.02,9430.68,9430.68
2021-09-03,9456.25,9475.07,9433.05,9462.54,9462.54
2021-09-02,9460.32,9483.83,9439.97,9465.47,9465.47
2021-09-01,9446.98,9464.28,9432.99,9437.15,9437.15
2021-08-31,9448.33,9451.56,9419.41,9433.58,9433.58
2021-08-30,9413.88,9463.03,9413.88,9445.24,9445.24
2021-08-27,9330.6,9412.35,9330.6,9404.15,9404.15
2021-08-26,9371.27,9375.46,9319.65,9321.74,9321.74
2021-08-25,9364.03,9387.43,9354.05,9376,9376
2021-08-24,9351.28,9368.81,9347.14,9355.11,9355.11
2021-08-23,9280.13,9362.63,9280.13,9341.09,9341.09
2021-08-20,9196.46,9266.77,9188.73,9261.31,9261.31
2021-08-19,9137.36,9212.67,9106.7,9186.07,9186.07
2021-08-18,9258.71,9286.43,9168.55,9173.93,9173.93
2021-08-17,9301.11,9301.11,9208.94,9271.83,9271.83
2021-08-16,9299.55,9338.1,9250.38,9337.18,9337.18
2021-08-13,9305.92,9313.11,9297.78,9312.51,9312.51
2021-08-12,9266.45,9299.16,9245.38,9297.2,9297.2
2021-08-11,9255.89,9270.9,9243.97,9267.4,9267.4
2021-08-10,9242.21,9261.78,9230.32,9244.22,9244.22
2021-08-09,9246.33,9249.71,9219.7,9235.05,9235.05
2021-08-06,9227.5,9251.55,9227.5,9243.03,9243.03
2021-08-05,9184.32,9226.89,9184.32,9226.49,9226.49
2021-08-04,9198.44,9198.8,9165.97,9170.76,9170.76
2021-08-03,9149.99,9213.86,9109.06,9213.35,9213.35
2021-08-02,9179.4,9210.19,9133.47,9138.36,9138.36
2021-07-30,9154.92,9190.48,9143.9,9155.21,9155.21
2021-07-29,9171.85,9226.73,9171.85,9204.25,9204.25
2021-07-28,9169.44,9195.31,9141.24,9164.62,9164.62
2021-07-27,9197.33,9197.33,9106.01,9166.27,9166.27
2021-07-26,9183.14,9210.2,9174.58,9209.63,9209.63
2021-07-23,9123.92,9194.38,9123.92,9187.64,9187.64
2021-07-22,9082.04,9099.94,9058.85,9094.95,9094.95
2021-07-21,9018.58,9077.99,9018.58,9075.97,9075.97
2021-07-20,8881.1,9030.29,8875.55,9001.77,9001.77
2021-07-19,8946,8946,8814.47,8867.07,8867.07
2021-07-16,9093.75,9109.09,9000.45,9009.89,9009.89
2021-07-15,9097.06,9097.06,9038.24,9078.33,9078.33
2021-07-14,9119.95,9147.73,9083.08,9107.85,9107.85
2021-07-13,9120.83,9144.3,9091.45,9096.15,9096.15
2021-07-12,9102.8,9131.39,9085.35,9128.22,9128.22
2021-07-09,9013.21,9101.02,9013.21,9096.84,9096.84
2021-07-08,8995.79,9016.18,8929.86,8995.26,8995.26
2021-07-07,9056.32,9078.77,9012.63,9071.14,9071.14
2021-07-06,9067.64,9067.64,8980.05,9040.76,9040.76
2021-07-02,9005.1,9065.09,9005.1,9058.66,9058.66
2021-07-01,8950.11,8990.55,8950.11,8990.08,8990.08
2021-06-30,8928.53,8952.48,8923.52,8942.78,8942.78
2021-06-29,8933.61,8948.72,8920.76,8930.67,8930.67
2021-06-28,8915.53,8930.54,8894.24,8927.4,8927.4
2021-06-25,8893.79,8917.81,8886.97,8906.79,8906.79
2021-06-24,8857.26,8886.95,8857.26,8877.06,8877.06
2021-06-23,8840.48,8855.62,8824.46,8825.01,8825.01
2021-06-22,8789.16,8854.11,8774.33,8834.56,8834.56
2021-06-21,8682.61,8792.48,8682.61,8789.52,8789.52
2021-06-18,8747.5,8747.5,8663.78,8667.76,8667.76
2021-06-17,8779.49,8803.68,8728.9,8782.58,8782.58
2021-06-16,8838.52,8844.7,8742.17,8786.18,8786.18
2021-06-15,8851.73,8855.66,8816.61,8833.68,8833.68
2021-06-14,8836.93,8851.58,8807.36,8851.17,8851.17
2021-06-11,8823.51,8834.61,8801.38,8832.94,8832.94
2021-06-10,8793.48,8837.4,8776.85,8815.56,8815.56
2021-06-09,8802.27,8809.96,8772.64,8774.31,8774.31
2021-06-08,8803.62,8808.29,8750.8,8790,8790
2021-06-07,8794.15,8800.15,8765.78,8788.28,8788.28
2021-06-04,8745.51,8802.46,8745.51,8795.08,8795.08
2021-06-03,8715.01,8741.9,8666.33,8717.97,8717.97
2021-06-02,8745.59,8767.52,8727.89,8748.3,8748.3
2021-06-01,8764.83,8800.93,8725.54,8734.74,8734.74
2021-05-28,8752.61,8768.36,8737.64,8738.77,8738.77
2021-05-27,8733.18,8756.91,8724.54,8730.97,8730.97
2021-05-26,8710.88,8733.77,8695.34,8720.04,8720.04
2021-05-25,8740.59,8755.98,8692.48,8703.59,8703.59
2021-05-24,8666.12,8747.9,8666.12,8722,8722
2021-05-21,8662.03,8703.83,8627.05,8635.55,8635.55
2021-05-20,8564.79,8670.23,8564.79,8641.98,8641.98
2021-05-19,8515.16,8553.55,8438.48,8550.95,8550.95
2021-05-18,8654.13,8660.5,8572.87,8574.98,8574.98
2021-05-17,8661.33,8665.5,8604.82,8647.57,8647.57
2021-05-14,8577.53,8688.66,8577.53,8669.49,8669.49
2021-05-13,8463.51,8580.91,8463.51,8541.39,8541.39
2021-05-12,8577.42,8586.03,8424.45,8437.24,8437.24
2021-05-11,8617.34,8641.39,8536.75,8620.98,8620.98
2021-05-10,8779.07,8795.78,8696.28,8696.29,8696.29
2021-05-07,8741.6,8799.1,8724.24,8787.82,8787.82
2021-05-06,8654.62,8724.28,8609.61,8722.04,8722.04
2021-05-05,8669.7,8691.72,8636.58,8650.04,8650.04
2021-05-04,8673.77,8673.77,8569.18,8643.91,8643.91
2021-05-03,8700.62,8736.73,8692.57,8702.02,8702.02
2021-04-30,8713.28,8713.28,8665.27,8678.16,8678.16
2021-04-29,8729.28,8755.5,8668.44,8740.35,8740.35
2021-04-28,8685.22,8719.11,8678.87,8681.17,8681.17
2021-04-27,8691.63,8702.16,8667.59,8688.45,8688.45
2021-04-26,8684.88,8703.89,8679.6,8690.26,8690.26
2021-04-23,8588.92,8703.72,8588.92,8674.8,8674.8
2021-04-22,8654.34,8673.18,8557.78,8580.73,8580.73
2021-04-21,8566.42,8662.16,8562.44,8659.8,8659.8
2021-04-20,8630.24,8630.24,8545.61,8579.95,8579.95
2021-04-19,8672.75,8674.64,8611.9,8638.42,8638.42
2021-04-16,8661.01,8696.62,8654.1,8684.51,8684.51
2021-04-15,8589.66,8659.61,8589.66,8653.29,8653.29
